movieId,title,genres,avg_rating
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,3.897
2,Jumanji (1995),Adventure|Children|Fantasy,3.306
3,Grumpier Old Men (1995),Comedy|Romance,3.17
4,Waiting to Exhale (1995),Comedy|Drama|Romance,2.943
5,Father of the Bride Part II (1995),Comedy,3.133
6,Heat (1995),Action|Crime|Thriller,3.853
7,Sabrina (1995),Comedy|Romance,3.405
8,Tom and Huck (1995),Adventure|Children,3.457
9,Sudden Death (1995),Action,3.092
10,GoldenEye (1995),Action|Adventure|Thriller,3.46
11,"American President, The (1995)",Comedy|Drama|Romance,3.673
12,Dracula: Dead and Loving It (1995),Comedy|Horror,2.612
13,Balto (1995),Adventure|Animation|Children,3.354
14,Nixon (1995),Drama,3.384
15,Cutthroat Island (1995),Action|Adventure|Romance,2.777
16,Casino (1995),Crime|Drama,3.813
17,Sense and Sensibility (1995),Drama|Romance,3.966
18,Four Rooms (1995),Comedy,3.397
19,Ace Ventura: When Nature Calls (1995),Comedy,2.591
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,2.832
21,Get Shorty (1995),Comedy|Crime|Thriller,3.542
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,3.332
23,Assassins (1995),Action|Crime|Thriller,3.191
24,Powder (1995),Drama|Sci-Fi,3.187
25,Leaving Las Vegas (1995),Drama|Romance,3.597
26,Othello (1995),Drama,3.587
27,Now and Then (1995),Children|Drama,3.247
28,Persuasion (1995),Drama|Romance,3.96
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,3.919
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,3.512
31,Dangerous Minds (1995),Drama,3.288
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,3.888
33,Wings of Courage (1995),Adventure|Romance|IMAX,4.5
34,Babe (1995),Children|Drama,3.611
35,Carrington (1995),Drama|Romance,3.481
36,Dead Man Walking (1995),Crime|Drama,3.921
37,Across the Sea of Time (1995),Documentary|IMAX,3.75
38,It Takes Two (1995),Children|Comedy,2.75
39,Clueless (1995),Comedy|Romance,3.41
40,"Cry, the Beloved Country (1995)",Drama,3.548
41,Richard III (1995),Drama|War,3.851
42,Dead Presidents (1995),Action|Crime|Drama,3.195
43,Restoration (1995),Drama,3.335
44,Mortal Kombat (1995),Action|Adventure|Fantasy,2.735
45,To Die For (1995),Comedy|Drama|Thriller,3.311
46,How to Make an American Quilt (1995),Drama|Romance,3.316
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,4.077
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,3.035
49,When Night Is Falling (1995),Drama|Romance,2.857
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,4.309
51,Guardian Angel (1994),Action|Drama|Thriller,3.25
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,3.466
53,Lamerica (1994),Adventure|Drama,3.0
54,"Big Green, The (1995)",Children|Comedy,2.849
55,Georgia (1995),Drama,2.979
56,Kids of the Round Table (1995),Adventure|Children|Comedy|Fantasy,3.25
57,Home for the Holidays (1995),Drama,3.433
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,4.024
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,3.611
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,3.122
61,Eye for an Eye (1996),Drama|Thriller,3.443
62,Mr. Holland's Opus (1995),Drama,3.783
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,3.071
64,Two if by Sea (1996),Comedy|Romance,2.941
65,Bio-Dome (1996),Comedy,2.395
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,2.023
67,Two Bits (1995),Drama,3.714
68,French Twist (Gazon maudit) (1995),Comedy|Romance,3.5
69,Friday (1995),Comedy,3.672
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,3.306
71,Fair Game (1995),Action,2.514
72,Kicking and Screaming (1995),Comedy|Drama,3.606
73,"Misérables, Les (1995)",Drama|War,3.792
74,Bed of Roses (1996),Drama|Romance,3.363
75,Big Bully (1996),Comedy|Drama,2.318
76,Screamers (1995),Action|Sci-Fi|Thriller,3.027
77,Nico Icon (1995),Documentary,3.5
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,2.83
79,"Juror, The (1996)",Drama|Thriller,3.181
